2026-06-25 15:21:05,620 [INFO] ============================================================
2026-06-25 15:21:05,621 [INFO] START sync_software (V_CMDB_Software) -- 2026-06-25 15:21:05.621178
2026-06-25 15:21:05,925 [ERROR] [upsert] Gagal pada SoftwareName=BMC Client Management Opswat Proxy Agent: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,926 [ERROR] [upsert] Gagal pada SoftwareName=BMC Client Management Package Viewer: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,926 [ERROR] [upsert] Gagal pada SoftwareName=BMC Client Management Patch Broker: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,927 [ERROR] [upsert] Gagal pada SoftwareName=BMC Client Management Proxy Agent: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,928 [ERROR] [upsert] Gagal pada SoftwareName=BMC Client Management Remote Control proxy: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,929 [ERROR] [upsert] Gagal pada SoftwareName=BMC Client Management SCAP: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,929 [ERROR] [upsert] Gagal pada SoftwareName=BMC Client Management SFX: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,930 [ERROR] [upsert] Gagal pada SoftwareName=BMC Client Management Video Proxy Agent: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,931 [ERROR] [upsert] Gagal pada SoftwareName=bmckeycli: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,931 [ERROR] [upsert] Gagal pada SoftwareName=bmckeycli: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,932 [ERROR] [upsert] Gagal pada SoftwareName=bmckeycli: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,933 [ERROR] [upsert] Gagal pada SoftwareName=bmckeycli: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,933 [ERROR] [upsert] Gagal pada SoftwareName=bmcryptpw: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,934 [ERROR] [upsert] Gagal pada SoftwareName=bmcryptpw: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,935 [ERROR] [upsert] Gagal pada SoftwareName=bmcryptpw: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,935 [ERROR] [upsert] Gagal pada SoftwareName=bmcryptpw: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,936 [ERROR] [upsert] Gagal pada SoftwareName=Boot File Servicing Utility: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,937 [ERROR] [upsert] Gagal pada SoftwareName=Browser for SQL Server 2022: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,937 [ERROR] [upsert] Gagal pada SoftwareName=BrowserCore: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,938 [ERROR] [upsert] Gagal pada SoftwareName=BuildNotificationApp: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,939 [ERROR] [upsert] Gagal pada SoftwareName=C++/WinRT: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
2026-06-25 15:21:05,939 [ERROR] [upsert] Gagal pada SoftwareName=Camera Profile Tool Test App: ('42S22', "[42S22] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'Name'. (207) (SQLExecDirectW)")
